##############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , EffectiveArea 
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on datasheets
# CCD QE based on datasheets
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1 
                *R_d2 * R_visgr * vis_geff * vis_detQE
# Generated on: 2026-02-19
##############################################################################
Wavelength	Reflectivity	Dichroic1_Eff	Dichroic2_Eff	GratingEff	CCD_QE	EffectiveArea_cm2
4636.4347	0.9282	0.8000	0.8000	0.5425	0.8694	197.3915
4637.3382	0.9281	0.8000	0.8000	0.5429	0.8696	197.5601
4638.2418	0.9281	0.8000	0.8000	0.5433	0.8697	197.7288
4639.1453	0.9281	0.8000	0.8000	0.5436	0.8699	197.8971
4640.0488	0.9281	0.8000	0.8000	0.5440	0.8701	198.0629
4640.9524	0.9281	0.8000	0.8000	0.5443	0.8703	198.2288
4641.8559	0.9281	0.8000	0.8000	0.5447	0.8705	198.3975
4642.7595	0.9281	0.8000	0.8000	0.5451	0.8707	198.5664
4643.6630	0.9281	0.8000	0.8000	0.5454	0.8708	198.7354
4644.5665	0.9281	0.8000	0.8000	0.5458	0.8710	198.9044
4645.4701	0.9281	0.8000	0.8000	0.5461	0.8712	199.0734
4646.3736	0.9281	0.8000	0.8000	0.5465	0.8714	199.2425
4647.2772	0.9281	0.8000	0.8000	0.5468	0.8716	199.4117
4648.1807	0.9281	0.8000	0.8000	0.5472	0.8717	199.5809
4649.0842	0.9281	0.8000	0.8000	0.5476	0.8719	199.7498
4649.9878	0.9281	0.8000	0.8000	0.5479	0.8721	199.9162
4650.8913	0.9281	0.8000	0.8000	0.5483	0.8723	200.0826
4651.7949	0.9281	0.8000	0.8000	0.5486	0.8725	200.2517
4652.6984	0.9281	0.8000	0.8000	0.5490	0.8726	200.4254
4653.6020	0.9280	0.8000	0.8000	0.5494	0.8728	200.6135
4654.5055	0.9280	0.8000	0.8000	0.5498	0.8730	200.8017
4655.4090	0.9280	0.8000	0.8000	0.5502	0.8732	200.9900
4656.3126	0.9280	0.8000	0.8000	0.5506	0.8734	201.1784
4657.2161	0.9280	0.8000	0.8000	0.5511	0.8735	201.3660
4658.1197	0.9280	0.8000	0.8000	0.5515	0.8737	201.5516
4659.0232	0.9280	0.8000	0.8000	0.5519	0.8739	201.7372
4659.9267	0.9280	0.8000	0.8000	0.5523	0.8741	201.9257
4660.8303	0.9280	0.8000	0.8000	0.5527	0.8743	202.1143
4661.7338	0.9280	0.8000	0.8000	0.5531	0.8745	202.3030
4662.6374	0.9280	0.8000	0.8000	0.5535	0.8746	202.4917
4663.5409	0.9280	0.8000	0.8000	0.5539	0.8748	202.6787
4664.4444	0.9280	0.8000	0.8000	0.5543	0.8750	202.8646
4665.3480	0.9280	0.8000	0.8000	0.5547	0.8752	203.0517
4666.2515	0.9280	0.8000	0.8000	0.5551	0.8754	203.2406
4667.1551	0.9280	0.8000	0.8000	0.5556	0.8755	203.4291
4668.0586	0.9279	0.8000	0.8000	0.5560	0.8757	203.6152
4668.9621	0.9279	0.8000	0.8000	0.5564	0.8759	203.8013
4669.8657	0.9279	0.8000	0.8000	0.5568	0.8761	203.9904
4670.7692	0.9279	0.8000	0.8000	0.5572	0.8763	204.1796
4671.6728	0.9279	0.8000	0.8000	0.5576	0.8764	204.3666
4672.5763	0.9279	0.8000	0.8000	0.5580	0.8766	204.5530
4673.4799	0.9279	0.8000	0.8000	0.5584	0.8768	204.7410
4674.3834	0.9279	0.8000	0.8000	0.5588	0.8770	204.9304
4675.2869	0.9279	0.8000	0.8000	0.5592	0.8772	205.1189
4676.1905	0.9279	0.8000	0.8000	0.5597	0.8773	205.3055
4677.0940	0.9279	0.8000	0.8000	0.5601	0.8775	205.4924
4677.9976	0.9279	0.8000	0.8000	0.5605	0.8777	205.6821
4678.9011	0.9279	0.8000	0.8000	0.5609	0.8779	205.8718
4679.8046	0.9279	0.8000	0.8000	0.5613	0.8781	206.0589
4680.7082	0.9279	0.8000	0.8000	0.5617	0.8783	206.2457
4681.6117	0.9278	0.8000	0.8000	0.5621	0.8784	206.4346
4682.5153	0.9278	0.8000	0.8000	0.5625	0.8786	206.6245
4683.4188	0.9278	0.8000	0.8000	0.5629	0.8788	206.8131
4684.3223	0.9278	0.8000	0.8000	0.5633	0.8790	207.0001
