###############################################################
#Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , Throughput, EffectiveArea [cm2]
# Pixel scale: 0.417684
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on CUTE
# CCD QE based on datasheet and CUTE
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1
                *R_uvgr * Uv_geff *R_fold2 * Uv_detQE
# Generated on: 2026-02-19
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	GratingEff	CCD_QE	Throughput	EffectiveArea_cm2
2503.0918	0.9259	0.8000	0.6394	0.6069	0.1795	172.7150
2503.5095	0.9259	0.8000	0.6393	0.6071	0.1796	172.7638
2503.9272	0.9259	0.8000	0.6392	0.6074	0.1796	172.8125
2504.3449	0.9259	0.8000	0.6391	0.6076	0.1797	172.8519
2504.7626	0.9259	0.8000	0.6390	0.6079	0.1797	172.8893
2505.1803	0.9259	0.8000	0.6389	0.6081	0.1797	172.9324
2505.5979	0.9259	0.8000	0.6388	0.6084	0.1798	172.9830
2506.0156	0.9259	0.8000	0.6387	0.6086	0.1798	173.0335
2506.4333	0.9259	0.8000	0.6386	0.6089	0.1799	173.0841
2506.8510	0.9259	0.8000	0.6385	0.6091	0.1800	173.1346
2507.2687	0.9259	0.8000	0.6384	0.6094	0.1800	173.1766
2507.6864	0.9259	0.8000	0.6383	0.6096	0.1800	173.2138
2508.1041	0.9259	0.8000	0.6382	0.6099	0.1801	173.2539
2508.5217	0.9259	0.8000	0.6381	0.6101	0.1801	173.3024
2508.9394	0.9259	0.8000	0.6380	0.6104	0.1802	173.3509
2509.3571	0.9259	0.8000	0.6379	0.6106	0.1802	173.3896
2509.7748	0.9259	0.8000	0.6378	0.6109	0.1803	173.4267
2510.1925	0.9259	0.8000	0.6377	0.6111	0.1803	173.4690
2510.6102	0.9259	0.8000	0.6376	0.6114	0.1804	173.5174
2511.0278	0.9259	0.8000	0.6375	0.6116	0.1804	173.5650
2511.4455	0.9259	0.8000	0.6374	0.6119	0.1804	173.6020
2511.8632	0.9259	0.8000	0.6372	0.6121	0.1805	173.6390
2512.2809	0.9259	0.8000	0.6371	0.6124	0.1805	173.6836
2512.6986	0.9259	0.8000	0.6371	0.6126	0.1806	173.7319
2513.1163	0.9259	0.8000	0.6370	0.6129	0.1806	173.7770
2513.5340	0.9259	0.8000	0.6368	0.6131	0.1807	173.8138
2513.9516	0.9259	0.8000	0.6367	0.6134	0.1807	173.8507
2514.3693	0.9259	0.8000	0.6366	0.6136	0.1807	173.8875
2514.7870	0.9259	0.8000	0.6365	0.6139	0.1808	173.9243
2515.2047	0.9259	0.8000	0.6364	0.6141	0.1808	173.9666
2515.6224	0.9259	0.8000	0.6363	0.6144	0.1809	174.0147
2516.0401	0.9259	0.8000	0.6362	0.6146	0.1809	174.0618
2516.4577	0.9259	0.8000	0.6361	0.6149	0.1810	174.0984
2516.8754	0.9259	0.8000	0.6359	0.6151	0.1810	174.1351
2517.2931	0.9259	0.8000	0.6358	0.6154	0.1810	174.1717
2517.7108	0.9259	0.8000	0.6357	0.6156	0.1811	174.2083
2518.1285	0.9259	0.8000	0.6356	0.6159	0.1811	174.2449
2518.5462	0.9259	0.8000	0.6354	0.6161	0.1811	174.2814
2518.9638	0.9259	0.8000	0.6353	0.6164	0.1812	174.3179
2519.3815	0.9259	0.8000	0.6352	0.6166	0.1812	174.3562
2519.7992	0.9259	0.8000	0.6351	0.6169	0.1813	174.3946
2520.2169	0.9259	0.8000	0.6350	0.6171	0.1813	174.4390
2520.6346	0.9259	0.8000	0.6349	0.6174	0.1814	174.4888
2521.0523	0.9259	0.8000	0.6348	0.6176	0.1814	174.5369
2521.4700	0.9259	0.8000	0.6347	0.6179	0.1814	174.5733
2521.8876	0.9259	0.8000	0.6345	0.6181	0.1815	174.6096
2522.3053	0.9259	0.8000	0.6344	0.6184	0.1815	174.6459
2522.7230	0.9259	0.8000	0.6343	0.6186	0.1816	174.6822
2523.1407	0.9259	0.8000	0.6342	0.6189	0.1816	174.7184
2523.5584	0.9259	0.8000	0.6340	0.6191	0.1816	174.7546
2523.9761	0.9259	0.8000	0.6339	0.6194	0.1817	174.7908
2524.3937	0.9259	0.8000	0.6338	0.6196	0.1817	174.8270
2524.8114	0.9259	0.8000	0.6337	0.6199	0.1817	174.8631
2525.2291	0.9259	0.8000	0.6335	0.6201	0.1818	174.8800
2525.6468	0.9259	0.8000	0.6333	0.6203	0.1818	174.8810
2526.0645	0.9259	0.8000	0.6332	0.6204	0.1818	174.8837
2526.4822	0.9259	0.8000	0.6331	0.6206	0.1818	174.8962
2526.8999	0.9259	0.8000	0.6329	0.6208	0.1818	174.9086
2527.3175	0.9259	0.8000	0.6328	0.6209	0.1818	174.9211
2527.7352	0.9259	0.8000	0.6327	0.6211	0.1818	174.9335
